,category,cost_type,price,sup_size,dedi_size,title,lat_num,lng_num,detail_num
64,빌라연립다세대,매매,"21,000",82.64,,(초강추) 내도동 신축매매<매물 번호 샛별 81번>,,,1107878
65,아파트,매매,"28,000",103.26,84.65,제주 신촌 에스디빌(SD빌) 아파트 매매,33.533733393252014,126.62070371449958,1109094
66,전원농가주택,년월세,"3,000/2,300",314.3,173.63,# [방4/연세] 해안초인근  3층 럭셔리타운하우스 연세,,,1108553
67,빌라연립다세대,년월세,"1,000/1,000",106,84,*연동 에코파인* 방3.전용25평형. 년세임대,33.48157033503636,126.48818798068058,1074641
68,원룸투룸쓰리룸,년월세,300/700,49.58,39.66,[주차맘껏-노형2지구] ★세련된 신축 1.5룸 -대형 분리형★,,,1111380
69,아파트,전세,"30,000",108,81.98,노형뜨란채아파트 전세 / 즉시입주 / 내부좋음,,,1115460
70,토지임야,매매,"41,000",208,,"성산읍 고성리 일반상업지역 소형토지 매매,63평,대,2차선접,4.1억",33.44938775514167,126.91714474078984,900600
71,토지임야,매매,"15,000",698,,추천-1억5천-주택가능-행원리,,,604415
72,원룸투룸쓰리룸,년월세,200/600,,,투룸임대(까리따스 유치원 뒷쪽),,,1053475
73,토지임야,매매,"28,820",432.96,,《《《 해안동 경관좋은 강추 !  투자용 》》》,,,1112658
74,오피스텔,매매,"29,000",104.43,84.34,급!!롯데마트 맞은 편 아델리안/복층형/저층,,,1112745
75,아파트,매매,"15,500",79,59.31,아라미화아파트 3층 내부수리,33.47051041510652,126.5448005861014,1114099
76,아파트,매매,"29,000",105.8,,에코퍼플 주거용 오피스텔 급매,,,819240
77,아파트,년월세,"1,000/1,500",114,84.87,신제주 롯데면세점인근  <<연동한일씨티파크아파트연세>>,,,1115781
78,토지임야,매매,"24,000",529,,애월읍 수산리 마을내 전원주택부지,33.46992644965072,126.38453043916049,1115455
79,원룸투룸쓰리룸,매매,"10,500",29.75,23.14,노형로타리인근 에코아바 1.5룸 매매,33.486866520397776,126.48173534848054,1048132
80,토지임야,매매,"27,000",598,,선흘리 마을 단독주택용토지 매매,,,1091205
81,아파트,매매,"60,000",142,120.94,노형중흥에스-클래스아파트 매매 / 풀확장 리모델링 / 협의입주,,,1115465
82,상가점포,임대,"3,000/800",99.15,89.24,해안도로 5분거리 상가임대,,,1100525
83,아파트,매매,"63,000",130,107.52,즉시입주 가능한 아라아이파크아파트 매매,,,1104994
84,원룸투룸쓰리룸,전세,"15,000",47.83,32.39,신축/연동/남해오네뜨/10층전세/첫입주,33.492653420613046,126.49628360429406,1105488
85,오피스텔,년월세,200/65,49.58,39.66,【신축1.5룸☆일성트루엘】 #애견가능 #롯데면세점앞,,,1115447
86,공장/창고,임대,"3,000/3,000",251.2,238.0,매물번호 구-347 제주시 봉개동 봉개초 부근 대지390평1층76평  창고임대,,,702695
87,아파트,매매,"73,000",154,125.65,노형e-편한세상아파트 매매 / 즉시입주 / 리모델링 / 6층,,,1115463
88,빌라연립다세대,매매,"18,500",76.03,46.28,내도동 신축빌라/남향/2층,33.49258369992883,126.43812969133339,1111413
89,숙박콘도펜션,매매,"125,000",1663,771,급매 - 12억5천-펜션18객실-애월수산,,,698285
90,아파트,매매,"19,800",21,52.88,[1억9800만원] 연동 21py 아파트 / 신제주초등학교,33.48315680847567,126.49691528425164,1068870
91,상가점포,임대,"2,000/1,500",191,114.42,카페형 떡볶이 맛집!,,,1104782
92,토지임야,매매,"66,500",879.3,,★(급급매)추천- 하귀 하나로마트 바로인근 일주도로접한 토지,33.48465766947226,126.41034379502865,1107581
93,사무실,임대,"1,500/1,500",188.4,188.4,이도2동 시청앞 맞은편 중앙로접 4층 57Py 년세임대,33.49820120342798,126.5305670318463,898009
94,토지임야,매매,"120,000",2237,,"k-180 월정리 바다조망 펜션,카페 부지",,,1111420
95,빌라연립다세대,전세,"20,000",86.61,62.81,신촌 고급빌라 에덴빌리지 전세 [복층형],33.53144804123922,126.62461078808336,952931
96,토지임야,매매,"4,800",199,,급 급매 투자용,,,1084226
97,아파트,년월세,"1,000/1,300",108,81.98,한라산 전망이 멋진 뜨란채 년세 입니다,,,1112805
98,원룸투룸쓰리룸,년월세,200/50,37.21,21.72,드림타워인근 에코아바1.5룸(베란다2개) 임대,,,1111437
99,아파트,전세,"25,000",120.0,84.50,아델하임 신제주초인근 전세권1순위,33.482704956544225,126.49665536828643,1111436
100,빌라연립다세대,매매,"36,500",108.58,83.04,영평초 바로 옆에 위치한 단지형 빌라,,,1094057
