,category,cost_type,price,sup_size,dedi_size,lat_num,lng_num,title
76,오피스텔,매매,"30,000",85.93,69.41,33.481693529168325,126.48311320996804,이스타(오피스텔)쓰리룸 매매
77,오피스텔,매매,"21,000",76.02,62.80,33.48292024376439,126.48151784160689,노형 해든빌 (방2개.화장실 넓은거실)
78,토지임야,매매,"90,000",293.7,,33.510852468633885,126.53827811792817,*일반상업지역토지* 제주시 일도2동 상업지토지매매
79,토지임야,매매,"5,000",198.35,,,,■매5천/1종일반/소형토지매매■
80,아파트,매매,"66,000",130,101.86,,,■39B형/제주아라KCC스위첸아파트 매매■
81,전원농가주택,매매,"42,000",378,143,,,김녕리 마을안 3개동 귀한 돌집 매매
82,오피스텔,년월세,200/800,62.81,46.28,33.46044563158282,126.92966799755123,성산리치유클래시아 임대
83,빌라연립다세대,년월세,"1,000/1,000",106,84,33.48157033503636,126.48818798068058,*연동 에코파인* 방3.전용25평형. 년세임대
84,오피스텔,매매,"9,500",29.75,23.14,33.483895523003056,126.48189076473794,노형 에코지엘 원룸 분양권매매
85,상가주택,매매,"33,000",207,72.44,,,한림읍 월림리 2차선 접 상가 매매
86,아파트,매매,"22,000",116.80,83.9,33.49997195049988,126.52772504603482,CGV옆 위치좋은 광양씨티빌 아파트
87,단독다가구,매매,"153,000",248.7,377.76,33.48743383925773,126.4942263968402,연동 KAL사택 인근 고급스런 4층 다가구
88,단독다가구,매매,"67,900",320.7,403.2,,,신산로 준주거지역 코너 단독주택 매매(상가주택부지)
89,단독다가구,매매,"43,000",469,92.5,,,"★해안초등학교남쪽단독주택(즉시입주,마당및텃밭있음)★"
90,빌라연립다세대,매매,"37,500",100,84.38,33.47848780329422,126.4620062474548,★노형동`휴스토리(복층형)매매//남향/즉시입주★
91,단독다가구,년월세,200/800,330.5,85.93,33.46603696114463,126.38707081498097,[200/800] 애월읍 수산리 타운하우스 / 물메초
92,토지임야,매매,"75,460",3564,,33.23894996412323,126.27050964881558,말도안되는가격 / 일주도로코너자리 대정읍 인성리
93,아파트,매매,"19,800",21,52.88,33.48315680847567,126.49691528425164,[1억9800만원] 연동 21py 아파트 / 신제주초등학교
94,상가건물,매매,"32,000",99.15,178.5,33.23203243272694,126.24209834607211,"3억2천 일주도로 상가 식당,카페 / 대정읍 일과리"
95,단독다가구,매매,"26,000",65,99.17,33.4657500291461,126.41196495661045,[2억6천] 너무이쁜 단독주택 / 고성리 보로미마을
96,빌라연립다세대,년월세,"1,000/1,200",105.8,,33.48400771059258,126.46250579430017,컨디션 최상 노형동 신축빌라 년세
97,아파트,매매,"13,500",67,53.09,,,★급매★ 탑층 / 도련미듬하나로아파트 / 기본형
98,사무실,임대,"1,500/1,500",188.4,188.4,33.49820120342798,126.5305670318463,이도2동 시청앞 맞은편 중앙로접 4층 57Py 년세임대
99,상가점포,임대,"4,300/4,300",231.4,198.3,,,★신축  ★ 대형 통상가 1.2층- 폴딩도어/테라스
100,원룸투룸쓰리룸,년월세,"1,000/1,100",112.4,82.63,,,[ 롯데마트 건너편] 에코퍼플 복층형 쓰리룸-노형동 쓰리룸
101,원룸투룸쓰리룸,년월세,300/700,49.58,39.66,,,[주차맘껏-노형2지구] ★세련된 신축 1.5룸 -대형 분리형★
102,아파트,년월세,"2,000/1,800",154,128.65,,,노형e-편한세상아파트- 큰 평수
103,공장/창고,임대,"4,000/4,000",495.8,495.8,,,♥노형동 5분거리♥신축창고-대도로 근처
104,아파트,매매,"20,000",85.38,59.83,33.484484147510365,126.47182492424004,급매 노형 백록초 인근  세기7차 아파트 매매
105,상가점포,임대,"1,000/900",161,,33.488158727901116,126.49688636450949,연동사거리  2차선 대로접 2층 상가 임대
106,빌라연립다세대,전세,"20,000",102.5,76.02,33.4844840331137,126.51227228193767,#귀한전세#오라이동#연북로#깨끗한타운하우스#다몰1차#즉시입주#전세임대
107,숙박콘도펜션,매매,"125,000",1152,319.68,33.44566513906174,126.30897612694423,곽지 해수욕장 인근 펜션
108,토지임야,매매,"26,000",660,,33.54373969988238,126.7473747264817,김녕리 최상 바다경관 전원주택지
